Names	p.value	coeff	abs.coeff	fdr	Warning
Mm.327543	0.902755898483705	-0.000224230016152254	0.000224230016152254	0.989065357407304	0
Mm.8911	0.051326465810518	0.00538247657555119	0.00538247657555119	0.502618646652724	0
Mm.277408	0.0270265927740961	0.000917360828275143	0.000917360828275143	0.412331916877217	0
Mm.44174	0.237208590480408	0.000466723157515919	0.000466723157515919	0.788005611153229	0
Mm.10265	0.646830187531019	-0.00307297424375413	0.00307297424375413	0.944205748498945	0
Mm.22264	0.468345633427601	0.00105488414057048	0.00105488414057048	0.907707723783889	0
Mm.277498	0.0191317465908670	-0.00564542012627773	0.00564542012627773	0.380860411365906	0
Mm.340315	0.598451026985884	-0.00159880061095045	0.00159880061095045	0.93858346293776	0
Mm.34951	0.654519378936269	0.000574221483543449	0.000574221483543449	0.944205748498945	0
Mm.382	0.648329637972804	-0.000237572026073305	0.000237572026073305	0.944205748498945	0
Mm.248827	0.589109865755356	0.00130743358575268	0.00130743358575268	0.936053186321203	0
Mm.289387	0.871571722983715	0.000274527186120328	0.000274527186120328	0.986102969870005	0
Mm.121265	0.610394559490612	0.00157699024778686	0.00157699024778686	0.939383771281316	0
Mm.6698	0.495113666480664	-0.00226957928372442	0.00226957928372442	0.913264369411219	0
Mm.171335	0.375633919859255	-0.000732593537720864	0.000732593537720864	0.880592828229684	0
Mm.30195	0.0695454340780717	-0.000408215338867247	0.000408215338867247	0.557492877236075	0
Mm.232728	0.427564218722911	-0.00556109849022529	0.00556109849022529	0.890477743288237	0
Mm.7286	0.913912192865897	-0.000107016881032585	0.000107016881032585	0.990688809424042	0
Mm.27372	0.610027879723501	-0.00282843309187284	0.00282843309187284	0.939383771281316	0
Mm.22565	0.85788323577709	-0.000747763567005677	0.000747763567005677	0.98246371641643	0
Mm.30041	0.577150385390194	0.000980705128223695	0.000980705128223695	0.934276701520513	0
Mm.291624	0.765742665073387	0.000259345805299808	0.000259345805299808	0.960878726471703	0
Mm.359796	0.371505717052544	-0.000154842474385631	0.000154842474385631	0.878241239680721	0
Mm.271620	0.382367806308713	0.00296302407648917	0.00296302407648917	0.885095557817086	0
Mm.319697	0.00425190518239338	0.00546453748669186	0.00546453748669186	0.206845851663011	0
Mm.229141	0.59433256101438	0.000994570828937946	0.000994570828937946	0.938515709919638	0
Mm.332317	0.0365105430104444	0.0030716445952596	0.0030716445952596	0.450317752805291	0
Mm.335252	0.223933500426815	-0.00215264765222727	0.00215264765222727	0.77712849816516	0
Mm.318331	0.600883720967954	0.00114557441644289	0.00114557441644289	0.93858346293776	0
Mm.340083	0.949962747288531	-0.000295809866879209	0.000295809866879209	0.99154969625475	0
Mm.288606	0.0523582952844722	0.00197358742987239	0.00197358742987239	0.508980875879582	0
Mm.245522	0.343449949447443	0.000352059072139877	0.000352059072139877	0.859439319324064	0
Mm.205996	0.0126107121702526	0.00149333879910461	0.00149333879910461	0.310006093316312	0
Mm.7723	0.385443088397697	-9.45046585691383e-05	9.45046585691383e-05	0.885095557817086	0
Mm.293980	0.808414458824176	0.000339284443094954	0.000339284443094954	0.971271300285398	0
Mm.43745	0.67734909366629	0.000226879656521294	0.000226879656521294	0.950555450540745	0
Mm.289915	0.781023131677618	-0.000577916522787949	0.000577916522787949	0.963734866412916	0
Mm.7013	0.0681284457861058	0.00173984923991421	0.00173984923991421	0.555071645724741	0
Mm.159965	0.970284746861792	8.72705417286228e-05	8.72705417286228e-05	0.99494721674436	0
Mm.290410	0.754780749855646	0.000434078750405701	0.000434078750405701	0.958592469141325	0
Mm.22665	0.29762364021762	0.00976073804067126	0.00976073804067126	0.836993039980568	0
Mm.7472	0.682715206375674	-0.000601520265601352	0.000601520265601352	0.952528781098432	0
Mm.28833	0.467337932152244	5.6680102712056e-05	5.6680102712056e-05	0.907707723783889	0
Mm.28551	0.514660346609983	-0.000171685807244145	0.000171685807244145	0.919197892568018	0
Mm.27270	0.663955876041522	0.000723528847865048	0.000723528847865048	0.946136292656615	0
Mm.278783	0.035277306956951	-0.0200048768968607	0.0200048768968607	0.444921528914823	0
Mm.331182	0.228680681438050	-0.0110910641978894	0.0110910641978894	0.78302813543317	0
Mm.245357	0.0480532976078973	0.00651182063529949	0.00651182063529949	0.494353337245678	0
Mm.30205	0.244561949002647	0.00176937913366966	0.00176937913366966	0.793051549100523	0
Mm.207678	0.598233353172095	-0.00246836262369179	0.00246836262369179	0.93858346293776	0
Mm.208286	0.76232699599034	-0.00139943577755467	0.00139943577755467	0.959725167686065	0
Mm.290447	0.917809336147717	-0.000377087392835783	0.000377087392835783	0.990688809424042	0
Mm.154378	0.478664532430442	-0.00240788009851146	0.00240788009851146	0.90949123251254	0
Mm.25298	0.370494336358955	0.0027864834755373	0.0027864834755373	0.877201635304878	0
Mm.249161	0.340202003575723	-0.000466120991456455	0.000466120991456455	0.858977364569848	0
Mm.145091	0.290221018842054	-0.00291640528595044	0.00291640528595044	0.82817223404565	0
Mm.27218	0.00187418505969084	-0.00157879315562874	0.00157879315562874	0.153575463109609	0
Mm.285969	0.278651751956949	-0.00118393998609484	0.00118393998609484	0.817323105931492	0
Mm.347613	0.702014656518286	0.00155766520684598	0.00155766520684598	0.953515820380764	0
Mm.296520	0.288116832065244	-0.000187695681385706	0.000187695681385706	0.82655327798516	0
Mm.328673	0.338586422820883	-0.00149801108381104	0.00149801108381104	0.858977364569848	0
Mm.22957	0.546398600016925	-0.00106562797686218	0.00106562797686218	0.92566535692956	0
Mm.236449	0.348191477803774	-0.00137051754376910	0.00137051754376910	0.861894807383022	0
Mm.182145	0.316188812034140	0.00254508213077996	0.00254508213077996	0.848289043396728	0
Mm.254704	0.303761433980235	-0.00693911115166883	0.00693911115166883	0.840895567695487	0
Mm.292530	0.463496173118012	-0.00206430776104279	0.00206430776104279	0.905774182609185	0
Mm.5021	0.942067214277108	0.000392971491898004	0.000392971491898004	0.99107130007222	0
Mm.141197	0.709677376870005	-0.00128423592626503	0.00128423592626503	0.953515820380764	0
Mm.9086	0.306322924849859	-0.00190223002282245	0.00190223002282245	0.842520319069133	0
Mm.103711	0.167125767277817	0.00280272531387435	0.00280272531387435	0.729697067316998	0
