Names	p.value	coeff	abs.coeff	fdr	Warning
Mm.360538	0.000574340020654818	0.000139971554084733	0.000139971554084733	999	0
Mm.297761	0.000585905286616506	0.00161116914785292	0.00161116914785292	999	0
Mm.20940	0.000597859804399414	0.00302035500987472	0.00302035500987472	999	0
Mm.124328	0.000604234514325674	-0.00289314779842462	0.00289314779842462	999	0
Mm.295750	0.000606456972367608	0.00298115942235065	0.00298115942235065	999	0
Mm.290657	0.000626954367208499	-0.00316824147828347	0.00316824147828347	999	0
Mm.235007	0.000660082868233491	-0.0189522191405422	0.0189522191405422	999	0
Mm.5104	0.000670472057959892	-0.00107436479943567	0.00107436479943567	999	0
Mm.313558	0.000737327901376261	-0.0071682201197009	0.0071682201197009	999	0
Mm.46325	0.000744322595160662	0.00208530021343529	0.00208530021343529	999	0
Mm.143720	0.000805054195050947	-0.00954576811762289	0.00954576811762289	999	0
Mm.245724	0.00080587401425758	0.000324435305562685	0.000324435305562685	999	0
Mm.253156	0.000837289714449185	-0.00386309483412927	0.00386309483412927	999	0
Mm.103155	0.000845158654854683	0.000317090551331464	0.000317090551331464	999	0
Mm.23235	0.000852298421707531	0.00100529294516725	0.00100529294516725	999	0
Mm.268436	0.000881640735336697	0.00357963892615232	0.00357963892615232	999	0
Mm.281874	0.000886756220659701	0.00357787584685918	0.00357787584685918	999	0
Mm.268504	0.000908057252106298	-0.00189392337395885	0.00189392337395885	999	0
Mm.375757	0.000923145139415715	0.000926283845245879	0.000926283845245879	999	0
Mm.1618	0.000935994640867133	-0.00923012210936736	0.00923012210936736	999	0
Mm.273081	0.000966384470526105	-0.0104450478207778	0.0104450478207778	999	0
Mm.4644	0.000976440964471248	-0.00164944718371949	0.00164944718371949	999	0
Mm.357342	0.00100787313534889	0.0138377449667082	0.0138377449667082	999	0
Mm.24724	0.00106647973120022	0.0246368054408268	0.0246368054408268	999	0
Mm.159484	0.00119109193632527	-0.0109869010113078	0.0109869010113078	999	0
Mm.179812	0.00125896251116009	0.00112199541235729	0.00112199541235729	999	0
Mm.235413	0.00134963538757205	0.00464800619224203	0.00464800619224203	999	0
Mm.25252	0.00135994889355673	0.00125654391214125	0.00125654391214125	999	0
Mm.87538	0.00142542174858629	0.000259058106831755	0.000259058106831755	999	0
Mm.280013	0.00148432764762874	-0.00364386600493129	0.00364386600493129	999	0
Mm.42135	0.00153204570387599	-0.00721188834496006	0.00721188834496006	999	0
Mm.2681	0.00157156899003785	-0.00394224759225107	0.00394224759225107	999	0
Mm.257762	0.00159581491000182	-0.00187187164127439	0.00187187164127439	999	0
Mm.46232	0.00160276593344166	0.00848274415745514	0.00848274415745514	999	0
Mm.29080	0.00167226891723793	0.00688910659867907	0.00688910659867907	999	0
Mm.16974	0.00167318161281449	0.00217816574573031	0.00217816574573031	999	0
Mm.3158	0.00167876992585025	0.00524662418445749	0.00524662418445749	999	0
Mm.138876	0.00168967859087998	0.0111854621506630	0.0111854621506630	999	0
Mm.186936	0.00171508027254963	0.0182414560169822	0.0182414560169822	999	0
Mm.271578	0.0018349589646105	-0.000512241746781337	0.000512241746781337	999	0
Mm.368500	0.00183984300649698	-0.00919020034685756	0.00919020034685756	999	0
Mm.27218	0.00187418505969084	-0.00157879315562874	0.00157879315562874	999	0
Mm.241387	0.002062147687239	-0.00583128195142003	0.00583128195142003	999	0
Mm.347426	0.00206257260821696	0.000755916250598704	0.000755916250598704	999	0
Mm.103545	0.00207802490043663	-0.00128369272450309	0.00128369272450309	999	0
Mm.29488	0.00208720562137266	-0.0122211764634427	0.0122211764634427	999	0
Mm.219672	0.00215621785829800	0.00265815106446592	0.00265815106446592	999	0
Mm.2299	0.00217263329545703	0.0141129453441083	0.0141129453441083	999	0
Mm.22778	0.00219076419792963	-0.00478723116626628	0.00478723116626628	999	0
Mm.208919	0.00223447428695278	0.00441844024513398	0.00441844024513398	999	0
Mm.28162	0.00224074019233012	0.000448783946280277	0.000448783946280277	999	0
Mm.138740	0.00224531008689210	0.00373440239449769	0.00373440239449769	999	0
Mm.4173	0.00229341735391886	0.00466967311311012	0.00466967311311012	999	0
Mm.168854	0.00239991305077469	-0.000441658406890925	0.000441658406890925	999	0
Mm.218875	0.00249842827091307	-0.00342745548986108	0.00342745548986108	999	0
Mm.21516	0.00256556628429971	0.000811428923173002	0.000811428923173002	999	0
Mm.308452	0.00260713726852835	0.000140914054153095	0.000140914054153095	999	0
Mm.1504	0.00262028309692042	0.00074902198566427	0.00074902198566427	999	0
Mm.213417	0.0026434873606499	-0.000643849372380323	0.000643849372380323	999	0
Mm.329586	0.00265900848695944	0.000780536924135055	0.000780536924135055	999	0
Mm.3951	0.00266948902409581	0.0297715120907554	0.0297715120907554	999	0
Mm.209263	0.00276561143600951	0.00526069868699814	0.00526069868699814	999	0
Mm.282039	0.00280604132847628	0.00516034565459836	0.00516034565459836	999	0
Mm.270543	0.00280660389202780	0.00341100275159713	0.00341100275159713	999	0
Mm.372687	0.00283338742866446	-0.00354394480405827	0.00354394480405827	999	0
Mm.184172	0.00285915112275414	0.00064828064598134	0.00064828064598134	999	0
Mm.1526	0.00292120899702308	0.0178921789326209	0.0178921789326209	999	0
Mm.3336	0.00295239664830083	0.00178524659701133	0.00178524659701133	999	0
Mm.273404	0.00308168371300854	0.00608627041904302	0.00608627041904302	999	0
Mm.24069	0.00308598142932148	0.0109211256533319	0.0109211256533319	999	0
Mm.29755	0.00310245080754956	0.00720750642146039	0.00720750642146039	999	0
Mm.57043	0.00311012176551873	0.011097835376933	0.011097835376933	999	0
Mm.261591	0.00313809074467464	0.00424067225683014	0.00424067225683014	999	0
Mm.332522	0.00314647785424971	-0.0283376016836932	0.0283376016836932	999	0
Mm.275847	0.0031925750038706	-0.00506583329925549	0.00506583329925549	999	0
Mm.115996	0.00319400207076914	0.0148560930912610	0.0148560930912610	999	0
Mm.12819	0.00325059030787811	-0.00745959046614998	0.00745959046614998	999	0
Mm.143737	0.00327503957696107	0.00433946103861014	0.00433946103861014	999	0
Mm.5048	0.00328051003173357	0.000134076758161194	0.000134076758161194	999	0
Mm.192375	0.00357814591622285	0.0068392312383197	0.0068392312383197	999	0
Mm.66966	0.00362513271629061	-0.00429840287587897	0.00429840287587897	999	0
Mm.232963	0.00365509581264423	0.00226806641060211	0.00226806641060211	999	0
Mm.194450	0.00367475782449056	-0.0102911296775513	0.0102911296775513	999	0
Mm.35687	0.00372687359644375	0.00570548158422582	0.00570548158422582	999	0
Mm.257474	0.00373280758412042	-0.00165606509269397	0.00165606509269397	999	0
Mm.218755	0.00379356207534698	-0.0158789660259139	0.0158789660259139	999	0
Mm.261620	0.00381619929863763	0.0097138137940914	0.0097138137940914	999	0
Mm.259295	0.00383429581316153	0.00579706439577793	0.00579706439577793	999	0
Mm.249986	0.0039642019159104	-0.0105526199892966	0.0105526199892966	999	0
Mm.3894	0.00404807869705159	0.0150767501022136	0.0150767501022136	999	0
Mm.243950	0.00405595298387385	-0.0133022315902580	0.0133022315902580	999	0
Mm.1158	0.00409617609192781	-0.0021587880726633	0.0021587880726633	999	0
Mm.17322	0.00419413534185065	-0.00141347294415987	0.00141347294415987	999	0
Mm.250980	0.00423908835101106	0.000212399952309150	0.000212399952309150	999	0
Mm.319697	0.00425190518239338	0.00546453748669186	0.00546453748669186	999	0
Mm.299916	0.00428581744170453	0.000702633523573054	0.000702633523573054	999	0
Mm.274335	0.00430347565649192	0.00971295311048443	0.00971295311048443	999	0
Mm.260601	0.00431463389646869	-0.00817752161484175	0.00817752161484175	999	0
Mm.4691	0.00434390575388310	-5.7152089505661e-05	5.7152089505661e-05	999	0
Mm.4814	0.0043510953999939	0.0112855713347793	0.0112855713347793	999	0
Mm.347395	0.00435424222661773	-0.0177526103337028	0.0177526103337028	999	0
Mm.57648	0.00436654294380445	-0.00425313617510177	0.00425313617510177	999	0
Mm.330986	0.00437001183741248	-0.0205274839055142	0.0205274839055142	999	0
Mm.20858	0.00441004602145789	0.00269918812441653	0.00269918812441653	999	0
Mm.23705	0.00441739689294962	-0.0040180715053868	0.0040180715053868	999	0
Mm.23825	0.00443643249390735	0.00419144743080156	0.00419144743080156	999	0
Mm.87634	0.00443667733938935	0.000600048936588615	0.000600048936588615	999	0
Mm.172947	0.00444383100555246	0.0172997289243503	0.0172997289243503	999	0
Mm.25860	0.00446826499594666	-0.0154905683972588	0.0154905683972588	999	0
Mm.22154	0.0044987611106202	0.00700695586151972	0.00700695586151972	999	0
Mm.2103	0.00468584121671578	-0.00164096935217236	0.00164096935217236	999	0
Mm.33832	0.00470817644243104	0.000680789822966031	0.000680789822966031	999	0
Mm.274432	0.0048532350201177	-0.00157384811326669	0.00157384811326669	999	0
Mm.24838	0.00489789737799085	0.0123829546652409	0.0123829546652409	999	0
Mm.221523	0.00490934580170643	-0.0134840123389562	0.0134840123389562	999	0
Mm.180189	0.00492117498564137	0.008164668493588	0.008164668493588	999	0
Mm.26996	0.00501462316740786	0.00559103217970677	0.00559103217970677	999	0
Mm.21596	0.00502041681272092	-0.00331650669621338	0.00331650669621338	999	0
Mm.152466	0.0051125556942363	0.00278354234788842	0.00278354234788842	999	0
Mm.173337	0.00514665182348983	0.000439543397670428	0.000439543397670428	999	0
Mm.287857	0.00515126497292329	-0.0012884357223799	0.0012884357223799	999	0
Mm.4261	0.00519882943219585	0.00613639923488517	0.00613639923488517	999	0
Mm.294159	0.00525768633042656	-0.00384208433051352	0.00384208433051352	999	0
Mm.263615	0.00530773385515704	-0.00648736696887484	0.00648736696887484	999	0
Mm.46539	0.00550863018567271	-0.0126550741363186	0.0126550741363186	999	0
Mm.75060	0.00566054318249898	0.00304859081060337	0.00304859081060337	999	0
Mm.290834	0.00569055698465415	-0.0138011954721543	0.0138011954721543	999	0
Mm.222536	0.00581588517166909	0.0135389086319595	0.0135389086319595	999	0
Mm.33225	0.00583898483716472	-0.0124041826661708	0.0124041826661708	999	0
Mm.188	0.00585420247077462	-0.00478599054611714	0.00478599054611714	999	0
Mm.342279	0.00591611736745368	-0.00146531174108986	0.00146531174108986	999	0
Mm.353936	0.00596974964897423	0.00578616200341335	0.00578616200341335	999	0
Mm.38390	0.00612450734213255	-0.00545965284187987	0.00545965284187987	999	0
Mm.274816	0.00617273855024658	0.00112113370372044	0.00112113370372044	999	0
Mm.284825	0.00618864988461365	-0.0066619308952226	0.0066619308952226	999	0
Mm.333374	0.0061985094028949	-0.00584406906372566	0.00584406906372566	999	0
Mm.826	0.00624615780397275	-0.00561006976043087	0.00561006976043087	999	0
Mm.28189	0.00630804131687146	-0.00900181415580002	0.00900181415580002	999	0
Mm.261609	0.006330142223814	-0.00413568661156689	0.00413568661156689	999	0
Mm.29163	0.00637378884319484	0.00404643148932641	0.00404643148932641	999	0
Mm.28085	0.0064058732697162	-0.00756588279759648	0.00756588279759648	999	0
Mm.60267	0.00649805639532053	-0.00477201155702242	0.00477201155702242	999	0
Mm.207067	0.00651754084577483	0.00281727233307413	0.00281727233307413	999	0
Mm.234912	0.00656342607881089	0.00356190224440086	0.00356190224440086	999	0
Mm.371601	0.00656426211118755	0.00439899892841036	0.00439899892841036	999	0
Mm.274868	0.00656469974571539	0.003756752268964	0.003756752268964	999	0
Mm.236220	0.00659001532445458	0.015567171900335	0.015567171900335	999	0
Mm.277425	0.00661205396347009	-0.000350783048043095	0.000350783048043095	999	0
Mm.219544	0.00672406449260021	-0.00331241973400676	0.00331241973400676	999	0
Mm.28887	0.00677245472587107	-0.00438073060618565	0.00438073060618565	999	0
Mm.350193	0.00678612244337529	0.00600030474723853	0.00600030474723853	999	0
Mm.21202	0.00685793032376281	0.00241944489239466	0.00241944489239466	999	0
Mm.370283	0.00688574034003775	0.0144618525085075	0.0144618525085075	999	0
Mm.26148	0.00692105869738535	0.00305411041614917	0.00305411041614917	999	0
Mm.46744	0.00695892031243694	-0.0203987064370272	0.0203987064370272	999	0
